Row_ID,date,state,state_name,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,negative,negativeIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered
00066,2020-02-14,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
00067,2020-02-14,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0
00068,2020-02-14,WA,Washington,0,0,0,0,0,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0
00069,2020-02-15,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0
00070,2020-02-15,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0
00071,2020-02-15,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
00072,2020-02-15,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00073,2020-02-16,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
00074,2020-02-16,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0
00075,2020-02-16,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0
00076,2020-02-16,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00077,2020-02-17,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0
00078,2020-02-17,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0
00079,2020-02-17,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
00080,2020-02-17,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00081,2020-02-18,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
00082,2020-02-18,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0
00083,2020-02-18,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
00084,2020-02-18,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00085,2020-02-19,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
00086,2020-02-19,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0
00087,2020-02-19,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,6,0,0,0
00088,2020-02-19,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00089,2020-02-20,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
