Acc_ID,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
6322,2017S005549    ,Nou Barris,Vilapicina i la Torre Llobeta,Costa i Cuxart                                    ,Monday,June,26,10,Morning,2,0,2,2
6323,2017S004242    ,Nou Barris,Vilapicina i la Torre Llobeta,Arnau d'Oms                                       ,Friday,May,12,19,Afternoon,0,0,0,2
6324,2017S008414    ,Nou Barris,Vilapicina i la Torre Llobeta,Vilapicina                                        ,Thursday,October,12,15,Afternoon,1,0,1,1
6325,2017S001660    ,Nou Barris,Vilapicina i la Torre Llobeta,PG MARAGALL                                       ,Tuesday,February,28,17,Afternoon,1,0,1,2
6326,2017S010292    ,Nou Barris,Vilapicina i la Torre Llobeta,Costa i Cuxart / Felip II                         ,Tuesday,December,12,18,Afternoon,1,0,1,1
6327,2017S007317    ,Nou Barris,Vilapicina i la Torre Llobeta,Arnau d'Oms                                       ,Friday,September,1,13,Morning,1,0,1,2
6328,2017S001942    ,Nou Barris,Porta,AV RIO DE JANEIRO                                 ,Thursday,March,9,17,Afternoon,1,0,1,2
6329,2017S010592    ,Nou Barris,el TurÃ³ de la Peira,Urrutia                                           ,Friday,December,22,12,Morning,1,0,1,2
6330,2017S002537    ,Nou Barris,el TurÃ³ de la Peira,MALADETA / Escultor OrdÃ³Ã±ez                       ,Thursday,March,30,10,Morning,1,0,1,2
6331,2017S002568    ,Nou Barris,Porta,PG VERDUM / Pl Jardins AlfÃ bia                    ,Friday,March,31,8,Morning,1,0,1,2
6332,2017S009451    ,Nou Barris,Porta,Andreu Nin / Pintor Alsamora                      ,Tuesday,November,14,20,Afternoon,1,0,1,2
6333,2017S006738    ,Nou Barris,Porta,AlcÃºdia / DeiÃ                                     ,Thursday,August,3,16,Afternoon,1,0,1,2
6334,2017S001593    ,Nou Barris,Porta,PINTOR ALSAMORA / Escultor OrdÃ³Ã±ez                ,Sunday,February,26,19,Afternoon,0,1,1,3
6335,2017S008959    ,Nou Barris,Porta,Maladeta                                          ,Monday,October,30,8,Morning,1,0,1,1
6336,2017S006551    ,Nou Barris,Porta,Escultor OrdÃ³Ã±ez                                  ,Thursday,July,27,17,Afternoon,0,0,0,2
6337,2017S005395    ,Nou Barris,Porta,Escultor OrdÃ³Ã±ez                                  ,Tuesday,June,20,8,Morning,1,0,1,1
6338,2017S000562    ,Nou Barris,Porta,PG VALLDAURA / Av Rio de Janeiro                  ,Friday,January,20,22,Night,7,0,7,3
6339,2017S002165    ,Nou Barris,Porta,PG VALLDAURA                                      ,Friday,March,17,18,Afternoon,1,0,1,1
6340,2017S010478    ,Nou Barris,Porta,Rio de Janeiro                                    ,Monday,December,18,18,Afternoon,1,0,1,2
6341,2017S003519    ,Nou Barris,Porta,Meridiana                                         ,Thursday,April,20,10,Morning,1,0,1,2
6342,2017S009861    ,Sant Andreu,el CongrÃ©s i els Indians,Garcilaso                                         ,Monday,November,27,10,Morning,1,0,1,3
6343,2017S001848    ,Sant Andreu,la Sagrera,AV MERIDIANA / Felip II                           ,Monday,March,6,16,Afternoon,1,0,1,2
6344,2017S000010    ,Sant Andreu,el CongrÃ©s i els Indians,FELIP II / Garcilaso                              ,Sunday,January,1,12,Morning,1,0,1,1
6345,2017S003121    ,Sant Andreu,el CongrÃ©s i els Indians,Felip II / Cep                                    ,Tuesday,April,4,18,Afternoon,0,0,0,2
6346,2017S008074    ,Sant Andreu,la Sagrera,Meridiana / Garcilaso                             ,Saturday,September,30,17,Afternoon,2,0,2,2
6347,2017S004823    ,Sant Andreu,la Sagrera,Felip II / Meridiana                              ,Thursday,June,1,15,Afternoon,1,0,1,2
6348,2017S001773    ,Sant Andreu,la Sagrera,FELIP II                                          ,Saturday,March,4,3,Night,0,0,0,2
6349,2017S001732    ,Sant Andreu,la Sagrera,AV MERIDIANA / Antilles                           ,Thursday,March,2,18,Afternoon,0,1,1,2
6350,2017S008803    ,Sant Andreu,la Sagrera,Gran de la Sagrera                                ,Tuesday,October,24,16,Afternoon,1,0,1,1
6351,2017S004786    ,Sant Andreu,la Sagrera,Felip II                                          ,Wednesday,May,31,15,Afternoon,0,0,0,2
6352,2017S004936    ,Sant Andreu,la Sagrera,Gran de la Sagrera                                ,Monday,June,5,22,Night,1,0,1,2
6353,2017S002264    ,Sant Andreu,Sant Andreu,JOAN TORRAS                                       ,Tuesday,March,21,11,Morning,2,0,2,1
6354,2017S003435    ,Sant Andreu,Sant Andreu,Palomar                                           ,Monday,April,17,11,Morning,1,0,1,2
6355,2017S007262    ,Sant Andreu,Sant Andreu,Palomar                                           ,Wednesday,August,30,18,Afternoon,1,0,1,3
6356,2017S006558    ,Sant Andreu,Sant Andreu,Segre / Sant AdriÃ                                 ,Thursday,July,27,20,Afternoon,1,0,1,1
6357,2017S003579    ,Sant Andreu,Sant Andreu,Onze de Setembre                                  ,Friday,April,21,9,Morning,1,0,1,1
6358,2017S009414    ,Sant Andreu,Navas,Meridiana / Felip II                              ,Monday,November,13,18,Afternoon,1,0,1,2
6359,2017S004729    ,Sant Andreu,Navas,Sant Antoni Maria Claret                          ,Monday,May,29,16,Afternoon,1,0,1,2
6360,2017S007489    ,Sant Andreu,Navas,Biscaia / ConcepciÃ³n Arenal                       ,Friday,September,8,17,Afternoon,0,0,0,1
